figure,problem,metric,method,seeds,n_runs,final_iteration,final_mean,final_std,final_sem,final_mean_minus_sem,final_mean_plus_sem,source_dir,source_files
poisson_convergence,Poisson,l2,Vanilla PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,1.6787080376e-01,8.3685474343e-03,2.6463670599e-03,1.6522443670e-01,1.7051717082e-01,Poisson\Reproducible,losses_poisson_pinn_1018.txt losses_poisson_pinn_1314.txt losses_poisson_pinn_2026.txt losses_poisson_pinn_2138.txt losses_poisson_pinn_3412.txt losses_poisson_pinn_3624.txt losses_poisson_pinn_4138.txt losses_poisson_pinn_4396.txt losses_poisson_pinn_5035.txt losses_poisson_pinn_5752.txt
poisson_convergence,Poisson,l2,SA-PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,1.8920010540e-02,3.8199860614e-03,1.2079856584e-03,1.7712024882e-02,2.0127996198e-02,Poisson\Reproducible,losses_poisson_sa_1018.txt losses_poisson_sa_1314.txt losses_poisson_sa_2026.txt losses_poisson_sa_2138.txt losses_poisson_sa_3412.txt losses_poisson_sa_3624.txt losses_poisson_sa_4138.txt losses_poisson_sa_4396.txt losses_poisson_sa_5035.txt losses_poisson_sa_5752.txt
poisson_convergence,Poisson,l2,RBA-PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,1.4442755720e-02,3.5820614124e-03,1.1327472782e-03,1.3310008442e-02,1.5575502998e-02,Poisson\Reproducible,losses_poisson_rba_1018.txt losses_poisson_rba_1314.txt losses_poisson_rba_2026.txt losses_poisson_rba_2138.txt losses_poisson_rba_3412.txt losses_poisson_rba_3624.txt losses_poisson_rba_4138.txt losses_poisson_rba_4396.txt losses_poisson_rba_5035.txt losses_poisson_rba_5752.txt
poisson_convergence,Poisson,l2,LoReW-PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,1.8274547200e-03,4.1427195343e-04,1.3100429436e-04,1.6964504256e-03,1.9584590144e-03,Poisson\Reproducible,losses_poisson_lorew_pinn_1018.txt losses_poisson_lorew_pinn_1314.txt losses_poisson_lorew_pinn_2026.txt losses_poisson_lorew_pinn_2138.txt losses_poisson_lorew_pinn_3412.txt losses_poisson_lorew_pinn_3624.txt losses_poisson_lorew_pinn_4138.txt losses_poisson_lorew_pinn_4396.txt losses_poisson_lorew_pinn_5035.txt losses_poisson_lorew_pinn_5752.txt
poisson_convergence,Poisson,linf,Vanilla PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,4.1580762875e-01,2.3761241931e-02,7.5139644535e-03,4.0829366430e-01,4.2332159320e-01,Poisson\Reproducible,losses_poisson_pinn_1018.txt losses_poisson_pinn_1314.txt losses_poisson_pinn_2026.txt losses_poisson_pinn_2138.txt losses_poisson_pinn_3412.txt losses_poisson_pinn_3624.txt losses_poisson_pinn_4138.txt losses_poisson_pinn_4396.txt losses_poisson_pinn_5035.txt losses_poisson_pinn_5752.txt
poisson_convergence,Poisson,linf,SA-PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,7.0357003670e-02,2.0456104300e-02,6.4687881641e-03,6.3888215506e-02,7.6825791834e-02,Poisson\Reproducible,losses_poisson_sa_1018.txt losses_poisson_sa_1314.txt losses_poisson_sa_2026.txt losses_poisson_sa_2138.txt losses_poisson_sa_3412.txt losses_poisson_sa_3624.txt losses_poisson_sa_4138.txt losses_poisson_sa_4396.txt losses_poisson_sa_5035.txt losses_poisson_sa_5752.txt
poisson_convergence,Poisson,linf,RBA-PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,7.5418127400e-02,2.6214996250e-02,8.2899097004e-03,6.7128217700e-02,8.3708037100e-02,Poisson\Reproducible,losses_poisson_rba_1018.txt losses_poisson_rba_1314.txt losses_poisson_rba_2026.txt losses_poisson_rba_2138.txt losses_poisson_rba_3412.txt losses_poisson_rba_3624.txt losses_poisson_rba_4138.txt losses_poisson_rba_4396.txt losses_poisson_rba_5035.txt losses_poisson_rba_5752.txt
poisson_convergence,Poisson,linf,LoReW-PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,9.3408917700e-03,3.0796530652e-03,9.7387180891e-04,8.3670199611e-03,1.0314763579e-02,Poisson\Reproducible,losses_poisson_lorew_pinn_1018.txt losses_poisson_lorew_pinn_1314.txt losses_poisson_lorew_pinn_2026.txt losses_poisson_lorew_pinn_2138.txt losses_poisson_lorew_pinn_3412.txt losses_poisson_lorew_pinn_3624.txt losses_poisson_lorew_pinn_4138.txt losses_poisson_lorew_pinn_4396.txt losses_poisson_lorew_pinn_5035.txt losses_poisson_lorew_pinn_5752.txt
helmholtz_convergence,Helmholtz,l2,Vanilla PINN,1234 1648 2138 2341 3053 3624 4083 4399 5035 5472,10,30000,1.1840812149e-01,1.5006517260e-02,4.7454774288e-03,1.1366264406e-01,1.2315359892e-01,Helmholtz\Reproducible,losses_helmholtz_pinn_1234.txt losses_helmholtz_pinn_1648.txt losses_helmholtz_pinn_2138.txt losses_helmholtz_pinn_2341.txt losses_helmholtz_pinn_3053.txt losses_helmholtz_pinn_3624.txt losses_helmholtz_pinn_4083.txt losses_helmholtz_pinn_4399.txt losses_helmholtz_pinn_5035.txt losses_helmholtz_pinn_5472.txt
helmholtz_convergence,Helmholtz,l2,SA-PINN,1234 1648 2138 2341 3053 3624 4083 4399 5035 5472,10,30000,2.3082256440e-02,4.5399817874e-03,1.4356682984e-03,2.1646588142e-02,2.4517924738e-02,Helmholtz\Reproducible,losses_helmholtz_sa_1234.txt losses_helmholtz_sa_1648.txt losses_helmholtz_sa_2138.txt losses_helmholtz_sa_2341.txt losses_helmholtz_sa_3053.txt losses_helmholtz_sa_3624.txt losses_helmholtz_sa_4083.txt losses_helmholtz_sa_4399.txt losses_helmholtz_sa_5035.txt losses_helmholtz_sa_5472.txt
helmholtz_convergence,Helmholtz,l2,RBA-PINN,1234 1648 2138 2341 3053 3624 4083 4399 5035 5472,10,30000,1.4721238830e-02,7.3329472327e-03,2.3188815217e-03,1.2402357308e-02,1.7040120352e-02,Helmholtz\Reproducible,losses_helmholtz_rba_1234.txt losses_helmholtz_rba_1648.txt losses_helmholtz_rba_2138.txt losses_helmholtz_rba_2341.txt losses_helmholtz_rba_3053.txt losses_helmholtz_rba_3624.txt losses_helmholtz_rba_4083.txt losses_helmholtz_rba_4399.txt losses_helmholtz_rba_5035.txt losses_helmholtz_rba_5472.txt
helmholtz_convergence,Helmholtz,l2,LoReW-PINN,1234 1648 2138 2341 3053 3624 4083 4399 5035 5472,10,30000,1.6525625400e-03,2.7057305826e-04,8.5562713759e-05,1.5669998262e-03,1.7381252538e-03,Helmholtz\Reproducible,losses_helmholtz_lorew_pinn_1234.txt losses_helmholtz_lorew_pinn_1648.txt losses_helmholtz_lorew_pinn_2138.txt losses_helmholtz_lorew_pinn_2341.txt losses_helmholtz_lorew_pinn_3053.txt losses_helmholtz_lorew_pinn_3624.txt losses_helmholtz_lorew_pinn_4083.txt losses_helmholtz_lorew_pinn_4399.txt losses_helmholtz_lorew_pinn_5035.txt losses_helmholtz_lorew_pinn_5472.txt
helmholtz_convergence,Helmholtz,linf,Vanilla PINN,1234 1648 2138 2341 3053 3624 4083 4399 5035 5472,10,30000,4.4919755060e-01,6.6763296130e-02,2.1112407987e-02,4.2808514261e-01,4.7030995859e-01,Helmholtz\Reproducible,losses_helmholtz_pinn_1234.txt losses_helmholtz_pinn_1648.txt losses_helmholtz_pinn_2138.txt losses_helmholtz_pinn_2341.txt losses_helmholtz_pinn_3053.txt losses_helmholtz_pinn_3624.txt losses_helmholtz_pinn_4083.txt losses_helmholtz_pinn_4399.txt losses_helmholtz_pinn_5035.txt losses_helmholtz_pinn_5472.txt
helmholtz_convergence,Helmholtz,linf,SA-PINN,1234 1648 2138 2341 3053 3624 4083 4399 5035 5472,10,30000,9.5663848330e-02,2.1186436311e-02,6.6997394246e-03,8.8964108905e-02,1.0236358775e-01,Helmholtz\Reproducible,losses_helmholtz_sa_1234.txt losses_helmholtz_sa_1648.txt losses_helmholtz_sa_2138.txt losses_helmholtz_sa_2341.txt losses_helmholtz_sa_3053.txt losses_helmholtz_sa_3624.txt losses_helmholtz_sa_4083.txt losses_helmholtz_sa_4399.txt losses_helmholtz_sa_5035.txt losses_helmholtz_sa_5472.txt
helmholtz_convergence,Helmholtz,linf,RBA-PINN,1234 1648 2138 2341 3053 3624 4083 4399 5035 5472,10,30000,8.3521265140e-02,6.3094360853e-02,1.9952188781e-02,6.3569076359e-02,1.0347345392e-01,Helmholtz\Reproducible,losses_helmholtz_rba_1234.txt losses_helmholtz_rba_1648.txt losses_helmholtz_rba_2138.txt losses_helmholtz_rba_2341.txt losses_helmholtz_rba_3053.txt losses_helmholtz_rba_3624.txt losses_helmholtz_rba_4083.txt losses_helmholtz_rba_4399.txt losses_helmholtz_rba_5035.txt losses_helmholtz_rba_5472.txt
helmholtz_convergence,Helmholtz,linf,LoReW-PINN,1234 1648 2138 2341 3053 3624 4083 4399 5035 5472,10,30000,9.6017063900e-03,3.0734847021e-03,9.7192120123e-04,8.6297851888e-03,1.0573627591e-02,Helmholtz\Reproducible,losses_helmholtz_lorew_pinn_1234.txt losses_helmholtz_lorew_pinn_1648.txt losses_helmholtz_lorew_pinn_2138.txt losses_helmholtz_lorew_pinn_2341.txt losses_helmholtz_lorew_pinn_3053.txt losses_helmholtz_lorew_pinn_3624.txt losses_helmholtz_lorew_pinn_4083.txt losses_helmholtz_lorew_pinn_4399.txt losses_helmholtz_lorew_pinn_5035.txt losses_helmholtz_lorew_pinn_5472.txt
reaction_diffusion_convergence,Reaction-Diffusion,l2,Vanilla PINN,1018 1428 2026 2138 3053 3521 4083 4396 5035 5472,10,30000,2.0000855200e-02,7.3691310727e-03,2.3303238566e-03,1.7670531343e-02,2.2331179057e-02,RD\Reproducible,losses_rd_pinn_1018.txt losses_rd_pinn_1428.txt losses_rd_pinn_2026.txt losses_rd_pinn_2138.txt losses_rd_pinn_3053.txt losses_rd_pinn_3521.txt losses_rd_pinn_4083.txt losses_rd_pinn_4396.txt losses_rd_pinn_5035.txt losses_rd_pinn_5472.txt
reaction_diffusion_convergence,Reaction-Diffusion,l2,SA-PINN,1018 1428 2026 2138 3053 3521 4083 4396 5035 5472,10,30000,1.2832112190e-02,4.9046147051e-03,1.5509753514e-03,1.1281136839e-02,1.4383087541e-02,RD\Reproducible,losses_rd_sa_1018.txt losses_rd_sa_1428.txt losses_rd_sa_2026.txt losses_rd_sa_2138.txt losses_rd_sa_3053.txt losses_rd_sa_3521.txt losses_rd_sa_4083.txt losses_rd_sa_4396.txt losses_rd_sa_5035.txt losses_rd_sa_5472.txt
reaction_diffusion_convergence,Reaction-Diffusion,l2,RBA-PINN,1018 1428 2026 2138 3053 3521 4083 4396 5035 5472,10,30000,1.0087052770e-02,2.7706633731e-03,8.7616068887e-04,9.2108920811e-03,1.0963213459e-02,RD\Reproducible,losses_rd_rba_1018.txt losses_rd_rba_1428.txt losses_rd_rba_2026.txt losses_rd_rba_2138.txt losses_rd_rba_3053.txt losses_rd_rba_3521.txt losses_rd_rba_4083.txt losses_rd_rba_4396.txt losses_rd_rba_5035.txt losses_rd_rba_5472.txt
reaction_diffusion_convergence,Reaction-Diffusion,l2,C-LoReW-PINN,1018 1428 2026 2138 3053 3521 4083 4396 5035 5472,10,30000,5.8174264400e-03,9.9302061914e-04,3.1402069200e-04,5.5034057480e-03,6.1314471320e-03,RD\Reproducible,losses_rd_clorew_pinn_1018.txt losses_rd_clorew_pinn_1428.txt losses_rd_clorew_pinn_2026.txt losses_rd_clorew_pinn_2138.txt losses_rd_clorew_pinn_3053.txt losses_rd_clorew_pinn_3521.txt losses_rd_clorew_pinn_4083.txt losses_rd_clorew_pinn_4396.txt losses_rd_clorew_pinn_5035.txt losses_rd_clorew_pinn_5472.txt
reaction_diffusion_convergence,Reaction-Diffusion,linf,Vanilla PINN,1018 1428 2026 2138 3053 3521 4083 4396 5035 5472,10,30000,2.8599562870e-02,8.6393323962e-03,2.7319967835e-03,2.5867566086e-02,3.1331559654e-02,RD\Reproducible,losses_rd_pinn_1018.txt losses_rd_pinn_1428.txt losses_rd_pinn_2026.txt losses_rd_pinn_2138.txt losses_rd_pinn_3053.txt losses_rd_pinn_3521.txt losses_rd_pinn_4083.txt losses_rd_pinn_4396.txt losses_rd_pinn_5035.txt losses_rd_pinn_5472.txt
reaction_diffusion_convergence,Reaction-Diffusion,linf,SA-PINN,1018 1428 2026 2138 3053 3521 4083 4396 5035 5472,10,30000,2.1590989840e-02,1.1592532095e-02,3.6658805268e-03,1.7925109313e-02,2.5256870367e-02,RD\Reproducible,losses_rd_sa_1018.txt losses_rd_sa_1428.txt losses_rd_sa_2026.txt losses_rd_sa_2138.txt losses_rd_sa_3053.txt losses_rd_sa_3521.txt losses_rd_sa_4083.txt losses_rd_sa_4396.txt losses_rd_sa_5035.txt losses_rd_sa_5472.txt
reaction_diffusion_convergence,Reaction-Diffusion,linf,RBA-PINN,1018 1428 2026 2138 3053 3521 4083 4396 5035 5472,10,30000,2.0804735500e-02,9.3815289800e-03,2.9666999512e-03,1.7838035549e-02,2.3771435451e-02,RD\Reproducible,losses_rd_rba_1018.txt losses_rd_rba_1428.txt losses_rd_rba_2026.txt losses_rd_rba_2138.txt losses_rd_rba_3053.txt losses_rd_rba_3521.txt losses_rd_rba_4083.txt losses_rd_rba_4396.txt losses_rd_rba_5035.txt losses_rd_rba_5472.txt
